algorithm,pages,page_count,repetition,payload_characters,payload_bits,serialized_data_bits,codeword_bits,redundancy_bits,overhead_percentage,configured_error_probability_percent,effective_error_probability_percent,configured_average_flips,actual_flips,round_trip_nanoseconds,round_trip_milliseconds,recovered_message_matches,status
CRC32,13,1,44,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4395292,4.395292,True,CLEAN
CRC32,13,1,45,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4406958,4.406958,True,CLEAN
CRC32,13,1,46,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4361167,4.361167,True,CLEAN
CRC32,13,1,47,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4372458,4.372458,True,CLEAN
CRC32,13,1,48,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4341708,4.341708,True,CLEAN
CRC32,13,1,49,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4331333,4.331333,True,CLEAN
CRC32,13,1,50,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4419708,4.419708,True,CLEAN
CRC32,13,1,51,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4317375,4.317375,True,CLEAN
CRC32,13,1,52,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4386167,4.386167,True,CLEAN
CRC32,13,1,53,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4323875,4.323875,True,CLEAN
CRC32,13,1,54,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4288333,4.288333,True,CLEAN
CRC32,13,1,55,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4305042,4.305042,True,CLEAN
CRC32,13,1,56,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4270792,4.270792,True,CLEAN
CRC32,13,1,57,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4334500,4.3345,True,CLEAN
CRC32,13,1,58,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4274291,4.274291,True,CLEAN
CRC32,13,1,59,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4328541,4.328541,True,CLEAN
CRC32,13,1,60,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4353375,4.353375,True,CLEAN
CRC32,13,1,61,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4329917,4.329917,True,CLEAN
CRC32,13,1,62,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4332791,4.332791,True,CLEAN
CRC32,13,1,63,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4273041,4.273041,True,CLEAN
CRC32,13,1,64,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4250000,4.25,True,CLEAN
CRC32,13,1,65,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4303334,4.303334,True,CLEAN
CRC32,13,1,66,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4224750,4.22475,True,CLEAN
CRC32,13,1,67,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4342083,4.342083,True,CLEAN
CRC32,13,1,68,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4383334,4.383334,True,CLEAN
CRC32,13,1,69,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4324667,4.324667,True,CLEAN
CRC32,13,1,70,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4298250,4.29825,True,CLEAN
CRC32,13,1,71,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4375625,4.375625,True,CLEAN
CRC32,13,1,72,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4325666,4.325666,True,CLEAN
CRC32,13,1,73,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4316458,4.316458,True,CLEAN
CRC32,13,1,74,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4282292,4.282292,True,CLEAN
CRC32,13,1,75,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4248875,4.248875,True,CLEAN
CRC32,13,1,76,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4348500,4.3485,True,CLEAN
CRC32,13,1,77,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4464209,4.464209,True,CLEAN
CRC32,13,1,78,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4332583,4.332583,True,CLEAN
CRC32,13,1,79,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4274958,4.274958,True,CLEAN
CRC32,13,1,80,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4303583,4.303583,True,CLEAN
CRC32,13,1,81,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4349959,4.349959,True,CLEAN
CRC32,13,1,82,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4344542,4.344542,True,CLEAN
CRC32,13,1,83,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4292791,4.292791,True,CLEAN
CRC32,13,1,84,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4277791,4.277791,True,CLEAN
CRC32,13,1,85,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4361000,4.361,True,CLEAN
CRC32,13,1,86,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4269500,4.2695,True,CLEAN
CRC32,13,1,87,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4390000,4.39,True,CLEAN
CRC32,13,1,88,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4329458,4.329458,True,CLEAN
CRC32,13,1,89,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4259666,4.259666,True,CLEAN
CRC32,13,1,90,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4521959,4.521959,True,CLEAN
CRC32,13,1,91,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4402417,4.402417,True,CLEAN
CRC32,13,1,92,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4227459,4.227459,True,CLEAN
CRC32,13,1,93,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4322583,4.322583,True,CLEAN
CRC32,13,1,94,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4311208,4.311208,True,CLEAN
CRC32,13,1,95,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4240875,4.240875,True,CLEAN
CRC32,13,1,96,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4283750,4.28375,True,CLEAN
CRC32,13,1,97,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4297125,4.297125,True,CLEAN
CRC32,13,1,98,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4360584,4.360584,True,CLEAN
CRC32,13,1,99,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4288667,4.288667,True,CLEAN
CRC32,13,1,100,543,4344,4496,4528,32,0.7117437722419928,0.0,0.0,0,0,4272750,4.27275,True,CLEAN
CRC32,13,1,1,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4378000,4.378,True,CLEAN
CRC32,13,1,2,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4366834,4.366834,True,CLEAN
CRC32,13,1,3,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4240792,4.240792,True,CLEAN
CRC32,13,1,4,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4245833,4.245833,True,CLEAN
CRC32,13,1,5,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4327833,4.327833,True,CLEAN
CRC32,13,1,6,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4319417,4.319417,True,CLEAN
CRC32,13,1,7,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4274500,4.2745,True,CLEAN
CRC32,13,1,8,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4377292,4.377292,True,CLEAN
CRC32,13,1,9,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4303291,4.303291,True,CLEAN
CRC32,13,1,10,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4348833,4.348833,True,CLEAN
CRC32,13,1,11,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4410792,4.410792,True,CLEAN
CRC32,13,1,12,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4268125,4.268125,True,CLEAN
CRC32,13,1,13,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4300500,4.3005,True,CLEAN
CRC32,13,1,14,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4362917,4.362917,True,CLEAN
CRC32,13,1,15,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4286541,4.286541,True,CLEAN
CRC32,13,1,16,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4296625,4.296625,True,CLEAN
CRC32,13,1,17,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4325083,4.325083,True,CLEAN
CRC32,13,1,18,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4367291,4.367291,True,CLEAN
CRC32,13,1,19,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4447083,4.447083,True,CLEAN
