destination_router_id,next_hop_router_id,next_hop_ip,next_hop_port,total_cost
A,I,127.0.0.1,9009,7
B,F,127.0.0.1,9006,3
C,C,127.0.0.1,9003,5
E,E,127.0.0.1,9005,1
F,F,127.0.0.1,9006,1
G,F,127.0.0.1,9006,4
H,F,127.0.0.1,9006,5
I,I,127.0.0.1,9009,6
